nm,ABB,ABH,AMB,AMH,APB,APH,ARB,ARH,BlackConstructPaper,BlackDuctTape,BlackElecTape,BlackFelt,BlackFoamBoard,BlackVelcro,CBB,CBH,CMB,CMH,CPB,CPH,DryEraseCardBoard,Flock55,Flock65,FractalBlack,IMN,IPN,IPNThin,IRN,IRNThin,MetalVelvet,PermMarkCardBoard,RhodesLP,Rustoleum,SMN,Soric,SPN,SprayPaint,SRN,SRS05,Valspar,P09,P06,P19,P21,F07,T01-1,T01-2
2490,34.42383709,26.72830336,56.15577192,22.24673082,65.78868732,40.70826994,56.57960626,17.1034347,32.8721389,3.031970992,3.010773351,3.204114107,24.35849242,10.08895161,29.20315767,29.80870981,50.43267526,22.89239496,61.14342693,40.17015257,6.546549109,15.36286776,14.64409536,1.872887685,6.529262957,6.468152115,2.8591511,5.644000359,2.614815377,1.838898055,20.23426035,1.651694025,4.741889745,5.556333626,3.479310706,6.122296211,5.512247232,5.868661372,14.1745,7.087155152,4.220689655,2.861042142,3.862575327,4.518390247,3.606226106,3.760361212,3.22187026
2489,34.64063025,27.09530158,56.4465854,22.56748691,66.06513089,41.22216333,56.93674299,17.25154636,33.26524276,3.129316696,3.06175701,3.197867542,24.65128906,10.13738845,29.36616638,29.89359281,50.69416237,22.94445917,61.55827042,40.36877282,6.649117392,15.60929274,14.78817891,1.933101564,6.519910017,6.565103267,2.972668129,5.588488361,2.665786421,1.886243114,20.51633894,1.58990584,4.792906988,5.570045191,3.494383229,6.131065132,5.621792273,5.919708734,14.07932,7.150624833,4.333108108,3.000636237,3.936356707,4.602057927,3.612631579,3.757265834,3.221608714
2488,37.47025672,29.20061591,61.03323255,24.37614544,71.36531187,44.35570096,61.63916509,18.51027883,33.67576507,3.219851735,3.131236817,3.20806762,24.94357292,10.16866697,31.72062991,32.26204303,54.81562865,24.79574816,66.62678309,43.68327649,6.780547298,16.79388614,15.83024923,2.027019806,7.127122927,7.046729812,3.390559866,5.980253655,2.909594391,1.928950068,20.84368455,1.696333605,4.907700657,6.037447461,3.73311289,6.590293945,5.681130737,6.335479049,14.01562,7.151573929,4.536912752,3.155051477,4.245815465,4.978627749,3.920114512,4.088534792,3.458691089
2487,34.42615807,26.69474031,56.28246767,22.30782349,65.75880925,40.60099062,56.86793375,16.9061439,34.05228136,3.338804293,3.091363879,3.210879785,25.20228615,10.25963186,29.22226733,29.81760939,50.55219268,22.83089886,61.41887537,40.36370415,6.827668206,15.32661004,14.43862131,1.778292966,6.535961954,6.501984308,3.214578656,5.51232425,2.696264199,1.751979603,21.10181467,1.539335966,4.947005935,5.587512531,3.405294738,6.145471718,5.732980634,5.782811503,14.00684,7.173380299,4.187919463,2.900801176,3.932081225,4.632337653,3.616797542,3.773090861,3.173195382
2486,35.37127372,27.58183707,57.84197379,23.05727257,67.55765165,41.93018853,58.46152118,17.4796526,33.48371144,3.278623998,2.967742016,3.170096922,24.63032975,10.03994752,29.97563448,30.69519951,51.95303336,23.4375629,63.07847043,41.48966289,6.654577567,15.8350739,14.90457458,1.84018988,6.74833431,6.65667914,3.31014564,5.666832266,2.820157088,1.775511137,20.82724447,1.567221122,4.857767892,5.743533754,3.491041999,6.347412135,5.673787727,5.932473012,13.98488,6.987841116,4.077852349,3.047523756,4.084413068,4.756423034,3.805443949,3.937692136,3.293055071
2485,34.18223726,26.39751129,55.76001455,22.05022896,65.15280325,40.19428088,56.43410399,16.7902804,33.67479872,3.211181163,2.953617104,3.182493216,24.73261991,10.06427426,28.91074103,29.67248452,50.0874762,22.61487587,60.77885557,40.0217971,6.582682879,15.11585993,14.2851735,1.761241462,6.409471303,6.4093399,3.279811964,5.473068517,2.724280924,1.659188424,20.94226202,1.482467984,4.853997931,5.506707698,3.335582483,6.146008184,5.687419224,5.709955369,14.05692,6.953507654,3.808,2.904446171,3.948856807,4.534116184,3.704879224,3.758574211,3.175405708
2484,35.62532532,27.45821837,58.15654942,22.82125768,67.87157269,41.81842603,58.81750741,17.43500059,34.28287564,3.218762491,2.938779889,3.267559322,25.10888656,10.22576415,30.0806711,30.93413673,52.14870229,23.54596906,63.18707771,41.62105043,6.666779696,15.67517934,14.8883844,1.780808525,6.654631418,6.627677442,3.377650314,5.766688981,2.814378046,1.7204745,21.27621255,1.567694871,4.922912714,5.742102988,3.404536609,6.431835821,5.755239011,5.890644784,14.15333,7.075444594,4.302040816,2.919705104,4.107142365,4.696439149,3.843099274,3.883957768,3.279067753
2483,35.75146117,27.78593178,58.38522007,23.06477215,68.01171786,42.32206433,58.98067293,17.66734994,34.57403742,3.191964183,2.943058202,3.308885317,25.32962232,10.31787854,30.20909999,31.08713337,52.29172483,23.60022409,63.30696384,41.70843328,6.691704741,15.79492062,15.12226399,1.760476404,6.617552745,6.636346863,3.302714584,5.882584438,2.800906508,1.756037625,21.37395477,1.6075113,4.928272299,5.783992488,3.431822837,6.459440374,5.731284583,5.880089416,14.17301,7.067539892,4.166666667,2.941116425,4.177881297,4.72394755,3.87289836,3.875711652,3.326093046
2482,36.38757375,28.31503992,59.43068732,23.46112658,69.169865,43.06591723,60.03764376,18.01252165,34.60669693,3.167120832,2.98642071,3.320268316,25.40485315,10.32229471,30.76657011,31.65329431,53.26603662,24.05114874,64.44124255,42.39450971,6.730721418,16.01186759,15.37493114,1.747211914,6.720161717,6.809992597,3.291721217,6.001558325,2.903466741,1.853914906,21.31532156,1.649884649,4.879529937,5.896869121,3.480594629,6.580797269,5.705296436,5.935525208,14.13756,7.094779825,4.554482759,2.892064954,4.178692711,4.815971839,3.906342407,3.97115075,3.408319682
2481,33.44496567,26.18231067,54.67494477,21.70052673,63.54697105,39.83339945,55.17536275,16.59528261,35.20278437,3.174807474,3.03548119,3.391036171,25.86813974,10.43866477,28.34034603,29.0907564,49.03428792,22.05125889,59.33066594,38.94077903,6.913182019,14.75951518,14.23921095,1.592192763,6.117392861,6.346414834,3.044681389,5.564179808,2.672965924,1.701564723,21.60230372,1.533023916,4.970809703,5.455525135,3.242254509,6.068633033,5.808505671,5.441927256,14.1225,7.21027134,3.873648649,2.654104341,3.828073216,4.399161062,3.574754211,3.661998513,3.130745194
2480,34.49225385,27.18281802,56.3634846,22.56439598,65.53405542,41.26318718,56.91970973,17.17648172,35.7061536,3.283652953,3.230023111,3.425334953,26.2700363,10.59100686,29.24232024,30.02956333,50.57924957,22.69365105,61.36801334,40.16591894,6.978932078,15.34585004,14.73180627,1.60971899,6.296124635,6.594915806,3.203318332,5.748602804,2.716297659,1.826778295,21.9934292,1.587047987,5.026287137,5.637230372,3.376743985,6.19900675,5.815873311,5.665739465,14.07446,7.328059591,4.222818792,2.7625314,3.953681941,4.556115708,3.678632772,3.781637946,3.22537767
2479,33.92112742,26.62095276,55.46679622,22.19677272,64.39065772,40.42148586,55.93822182,16.79276703,35.86289639,3.368215453,3.284814653,3.445724806,26.37341768,10.62799382,28.69710633,29.48654255,49.77056891,22.36552455,60.44951825,39.51244351,7.029367543,15.02702069,14.36757962,1.572078384,6.212253595,6.47807694,3.196450303,5.570515985,2.662559349,1.830547795,22.16901325,1.539364487,5.058182762,5.567027618,3.317857827,6.008765503,5.789926003,5.56271798,14.07512,7.351747253,4.145945946,2.707714258,3.894986072,4.473481894,3.570488657,3.701898812,3.203989167
2478,34.35339627,26.87165983,56.29279563,22.43700433,65.23487902,40.72069137,56.61215516,16.9489106,36.05693909,3.452628929,3.337642619,3.458174297,26.53938561,10.67530396,28.99720631,29.92178127,50.44767673,22.6621617,61.28184611,40.09059838,7.083200827,15.22166138,14.51359271,1.595992223,6.369973396,6.519862392,3.296215125,5.627514176,2.644875562,1.92267423,22.40478315,1.561418541,5.110651363,5.623131601,3.401809457,6.085476751,5.801224131,5.614251121,14.04598,7.379739223,4.214583333,2.672407248,3.869858156,4.501182033,3.603210063,3.728036563,3.185893615
2477,34.37651781,26.46018455,56.53457623,22.19731434,65.41590951,40.13406833,56.71227455,16.73486749,36.31107277,3.51888348,3.35185501,3.442748574,26.73730163,10.651905,29.00960449,30.00922354,50.5878322,22.7116405,61.39612902,40.12805619,7.037745477,15.01295509,14.36401444,1.566130563,6.459574694,6.481704441,3.345091497,5.681294384,2.601867148,1.87496285,22.61357101,1.5982328,5.17486066,5.594962786,3.393622904,6.094966283,5.806231857,5.626750049,14.0891,7.368501233,4.093877551,2.723150763,3.802194902,4.45788706,3.606820061,3.645670767,3.165483104
2476,36.45228472,27.8044436,60.03880518,23.32841287,69.39730636,42.12691574,60.14773722,17.62738663,36.45426289,3.53825783,3.276654732,3.441921952,26.8225849,10.61835611,30.68183013,31.80350426,53.73117212,24.14460225,65.07503292,42.62497486,7.030121083,15.86274739,15.21521215,1.640569762,6.892032349,6.795794736,3.53598104,6.028373144,2.778800847,1.963934041,22.77956526,1.575538775,5.174151311,5.892659274,3.576952508,6.503822872,5.780604974,6.035539495,14.08218,7.336410014,4.761904762,2.943486813,3.981372277,4.772270015,3.886858798,3.886489876,3.350298036
2475,34.86842655,26.57472898,57.47374111,22.31024862,66.37078452,40.32760021,57.63574642,16.87463603,36.8662025,3.467248419,3.202942739,3.441558069,27.1071578,10.64080964,29.37489429,30.44588754,51.40362009,23.13280394,62.22999498,40.82737632,7.008040624,15.24664525,14.71563151,1.543726209,6.641036403,6.471447038,3.327695811,5.740788978,2.718768004,1.892406009,23.02641195,1.466062464,5.213084055,5.591521509,3.485464242,6.194063632,5.864316678,5.84706621,14.08961,7.460493532,4.273972603,2.916209272,3.856254319,4.558673117,3.716123677,3.776825618,3.203824662
2474,34.48596697,26.40369437,56.82660627,22.09082319,65.6790551,40.10872139,57.1178469,16.80036089,37.25896842,3.425568974,3.210632115,3.448012415,27.44094202,10.64380914,29.08077723,30.0885086,50.80319941,22.93092742,61.43466753,40.43607057,7.050630329,15.1651857,14.66183287,1.510716755,6.562461426,6.36078421,3.252526828,5.731743566,2.759468093,1.839998256,23.27574039,1.465517449,5.264038921,5.486258428,3.441383671,6.129313298,5.906489722,5.777714534,14.1012,7.519444001,4.181081081,2.797069734,3.825204819,4.485542169,3.697470629,3.721142456,3.190118501
2473,35.02597602,26.8601139,57.94001267,22.41505197,66.86642738,40.77477348,58.35282118,17.12743399,37.25170585,3.392658406,3.176873521,3.524984414,27.5549181,10.62967918,29.6697402,30.68075138,51.81016753,23.36795279,62.56358626,41.19629507,7.097684599,15.44106999,14.95055934,1.541896425,6.67794972,6.499475841,3.294086001,5.866435197,2.823414169,1.841052697,23.21990235,1.524789777,5.259366726,5.562424608,3.501152207,6.231511534,5.940730165,5.872983689,14.08875,7.531265603,3.926490066,2.818006576,3.836198814,4.537708534,3.689065317,3.723995883,3.244521977
2472,34.88674908,26.99039872,57.71268074,22.50856918,66.51768889,40.91926406,58.22085015,17.1782204,36.42996799,3.286949752,3.056499532,3.442209472,26.99240972,10.3768288,29.58117609,30.55512396,51.59878272,23.27046411,62.34628881,40.98090001,6.895490156,15.52121066,15.02024441,1.554659577,6.594514147,6.473724334,3.208584685,5.855459685,2.891915629,1.818993827,22.70324189,1.539197656,5.160249919,5.570251222,3.497322933,6.214107075,5.84408011,5.873000482,14.02633,7.388496402,4.453472222,2.817332258,3.85618148,4.508612011,3.713120789,3.741750265,3.248557035
2471,34.21168047,26.39692727,56.54844803,21.99409027,65.12906554,40.07426762,57.0481149,16.74790664,36.68609998,3.277895188,3.08560565,3.436216901,27.2404145,10.46464898,28.99858837,29.96772103,50.54350313,22.80200964,61.1279193,40.1157598,6.970003994,15.16496594,14.70693414,1.567195336,6.398771816,6.373437873,3.139973644,5.695517703,2.843440284,1.779496532,22.81925894,1.5430884,5.213669267,5.388408598,3.378401762,6.138882345,5.924214034,5.820191065,13.96459,7.478195737,4.066216216,2.732741298,3.828484387,4.415093817,3.59804085,3.650561599,3.16526443
2470,36.38153613,27.95798311,60.21018818,23.20786153,69.29919509,42.44378039,60.69107136,17.68181935,37.22454047,3.36784812,3.231313639,3.484498169,27.75144488,10.67048102,30.88493937,31.86713006,53.78212842,24.28197555,65.10934287,42.59362404,7.08723743,16.02804304,15.67164512,1.69053364,6.811248068,6.818015268,3.426499794,5.989454038,3.006907102,1.906909164,23.16056747,1.690346194,5.310597351,5.669826563,3.506700938,6.545319903,6.023816329,6.252734931,13.9211,7.585125729,4.427083333,2.857951244,4.077572486,4.658847139,3.804688589,3.882272234,3.344347789
2469,35.20164371,27.15847054,58.26843054,22.64049669,67.01960209,41.28548946,58.65988847,17.17114867,37.59704434,3.386438713,3.307222544,3.436004057,28.145255,10.77325413,29.86053317,30.83393336,52.04601858,23.49478772,63.06548048,41.09933759,7.109968125,15.59941206,15.28274493,1.636560977,6.615725421,6.65514912,3.334950088,5.709861509,2.871329759,1.862416661,23.45281802,1.675797917,5.272942625,5.538076532,3.380736822,6.372108482,6.001470588,6.070851434,13.90818,7.554237902,4.143835616,2.891983512,3.97044352,4.49955648,3.676841959,3.72646989,3.206162704
2468,34.12874882,26.16694215,56.61301863,21.83954489,65.06499607,39.81342682,56.90068984,16.60728864,37.842952,3.384168252,3.341975718,3.433461923,28.3923115,10.79304629,28.96695896,29.9050094,50.59404602,22.83653319,61.26032449,39.90849846,7.151979654,15.01403402,14.75083281,1.627697883,6.428122175,6.414864907,3.278657375,5.466822175,2.810524473,1.851751018,23.63436744,1.621718325,5.277424632,5.387952941,3.258331034,6.202436094,5.973779507,5.795893567,13.89613,7.567901365,4.031756757,2.813440107,3.796453018,4.392657125,3.548327446,3.649463268,3.14312474
2467,34.61886483,26.4382821,57.50904504,22.07675851,66.00975104,40.23275173,57.78010936,16.84094315,38.62571166,3.428637777,3.409433325,3.472161955,28.99623872,10.92575127,29.35412638,30.25169981,51.32361786,23.17766484,62.21321436,40.47985128,7.299133182,15.16500623,15.02105127,1.600131035,6.526321597,6.533425651,3.381437871,5.570596769,2.836153727,1.87867321,24.13936777,1.591830502,5.310274899,5.512912852,3.305424742,6.336048151,6.075961868,5.750009611,13.92014,7.645330758,4.160839161,2.866908229,3.808361527,4.456645723,3.609110286,3.76174708,3.229877142
2466,35.10688806,26.76509718,58.34203267,22.30575411,66.88189377,40.59735649,58.63865027,16.98406891,39.42401867,3.519544791,3.525973081,3.55225898,29.67305775,11.09228787,29.76350702,30.6925067,52.03135115,23.44777457,63.10564765,41.02737854,7.414145961,15.34497864,15.35008004,1.591628415,6.616741075,6.592104021,3.488799731,5.691607857,2.886257937,1.938206955,24.73537059,1.535744112,5.393681198,5.656107486,3.359743034,6.340124153,6.169522183,5.791526678,13.89513,7.740609599,4.115646259,2.879233983,3.877809202,4.537187004,3.69606942,3.835041486,3.313470619
2465,33.96972292,25.96300255,56.48771617,21.69381265,64.69611645,39.42948197,56.83995568,16.41996821,40.12808707,3.606583238,3.482044114,3.6414147,30.2616372,11.24831982,28.81872557,29.63357516,50.40359928,22.63830969,61.09046251,39.74718762,7.54341864,14.89454075,15.01406159,1.565658161,6.353629645,6.311562277,3.433463422,5.529972028,2.88438563,1.826655184,25.28156468,1.442648393,5.454824358,5.538207049,3.238468065,6.091369607,6.299986715,5.584580203,13.90548,7.791203432,4.268918919,2.758900025,3.760369044,4.370180391,3.563240132,3.743820278,3.284830944
2464,35.32173717,27.0622293,58.67553697,22.5675995,67.14886637,41.10990597,59.05946271,17.03250904,40.41227105,3.675082549,3.46804204,3.706250599,30.50721853,11.28171068,29.98762525,30.7253949,52.43338715,23.39887156,63.48255403,41.38528249,7.611476493,15.59122433,15.69507919,1.686352427,6.559054256,6.543146576,3.616651825,5.790624939,3.092378202,1.874215181,25.56891414,1.52558676,5.508294927,5.738015726,3.381754519,6.297214864,6.377852752,5.752113397,13.94637,7.861929094,4.060958904,2.830712744,3.85890994,4.469391818,3.690224735,3.848983714,3.393115771
2463,35.04870145,26.69189449,58.18375731,22.30289877,66.61083046,40.52445888,58.54971159,16.77415936,40.79507904,3.726896594,3.464870104,3.738516583,30.87454259,11.30622592,29.73860762,30.51585826,52.02297941,23.15440395,62.97636351,40.99151225,7.663425219,15.39049969,15.46439399,1.679015217,6.475527565,6.496551868,3.591845565,5.820623883,3.107983352,1.823402359,25.81589154,1.581302197,5.580698984,5.691218285,3.36538747,6.215857202,6.468463035,5.701460894,13.97236,7.881410326,4.156849315,2.923157963,3.773867142,4.393871255,3.664774381,3.765045275,3.376107902
2462,35.26086459,26.89665259,58.52529933,22.49162909,66.99870921,40.75651027,58.87992215,16.76631767,40.53019974,3.74764398,3.386294285,3.752275292,30.72741418,11.20226227,29.8615634,30.68040879,52.36866878,23.27595419,63.38558197,41.18501567,7.625325083,15.54127168,15.56476304,1.74543694,6.446783412,6.527470302,3.604561717,5.937837296,3.148464539,1.796480523,25.7078616,1.599733984,5.535905545,5.714752817,3.418395076,6.221413666,6.416460602,5.811394262,13.96499,7.863883665,4.267586207,3.016073169,3.787403846,4.416730769,3.724891533,3.75088439,3.325926692
2461,34.92414021,26.76995134,58.03887792,22.4052184,66.42137822,40.53805581,58.29225118,16.67878257,40.49958781,3.719182771,3.354078651,3.709867138,30.77954105,11.18709109,29.56301259,30.34832568,51.91987441,23.09287672,62.86702749,40.72057885,7.590584525,15.49486339,15.59384544,1.743918657,6.456990811,6.492298294,3.520742896,5.878046901,3.114074715,1.829555195,25.73265903,1.631702024,5.50272957,5.651298684,3.406177122,6.182886863,6.405185405,5.826312272,13.97703,7.902994229,4.313103448,3.111814418,3.802420575,4.367184706,3.707885506,3.740727894,3.246111656
2460,35.68155786,27.68030527,59.3458664,23.07635303,67.98418334,41.91085152,59.58553254,17.2776187,40.54009865,3.745055286,3.383329791,3.607018438,30.87855438,11.11939056,30.20918523,31.03943919,53.06516065,23.65461443,64.31803831,41.65567132,7.528879922,16.02630656,16.157457,1.793201192,6.625946155,6.57110983,3.547873448,5.99560649,3.181396699,1.966153517,25.81433657,1.704646848,5.428454867,5.757993823,3.469282977,6.347666137,6.344352222,6.006857819,13.95955,7.882956575,4.149659864,3.229587083,3.993902691,4.506049136,3.875716588,3.860034887,3.282491341
2459,35.18921437,27.41373285,58.70679104,22.79681545,67.14525581,41.50872317,58.84899216,17.28157491,40.48707388,3.734495012,3.475317436,3.619326864,30.87439718,11.04025566,29.79547392,30.64471467,52.46462164,23.40315448,63.57937823,41.13152341,7.508998115,15.91449186,16.05059162,1.756662724,6.554266028,6.538850195,3.549227122,5.857982816,3.07956427,1.967850807,25.84477187,1.684590878,5.342849036,5.660951047,3.439994552,6.202763043,6.280368673,5.933193141,13.95256,7.856078337,4.201388889,3.19066807,3.951905188,4.44714394,3.802446355,3.818692412,3.236359922
2458,35.11917709,27.60721463,58.58982519,22.87862173,67.0091825,41.7713708,58.74477351,17.48644745,40.57691834,3.693064913,3.49843317,3.583879962,30.98577126,10.99219011,29.69629854,30.58637253,52.29574261,23.37235191,63.48477581,41.00755973,7.468476062,16.06214172,16.23660112,1.705830174,6.528313461,6.45643353,3.567461983,5.835068456,3.117312437,1.962571451,25.96007217,1.681258303,5.315911147,5.636101495,3.449807936,6.192068169,6.20715468,5.892793804,13.93478,7.851765305,4.178082192,3.224384154,3.988639021,4.459321917,3.875962206,3.902932231,3.243088732
2457,33.96891894,26.67350561,56.54556826,22.05439652,64.67982364,40.30559553,56.77622688,16.92763612,41.21250993,3.717466083,3.504303671,3.589271524,31.50131074,11.12272536,28.66030923,29.57790668,50.49760027,22.53016492,61.30724747,39.66595993,7.595288313,15.52502929,15.80592135,1.610499937,6.275965225,6.189445792,3.416137937,5.634702584,3.02475955,1.911167856,26.38005259,1.572716648,5.392311416,5.422240964,3.359362891,5.947929382,6.273240287,5.632016709,13.84452,7.940068195,4.425,2.973040882,3.880154515,4.392136304,3.756325176,3.816360553,3.124530139
2456,33.65470407,26.43284798,56.00566216,21.73568247,64.12431815,39.87364825,56.34136917,16.75235225,41.13094277,3.737100017,3.527564995,3.581641005,31.47197142,11.07393237,28.42244866,29.32217417,50.03761855,22.26794161,60.81664534,39.35495885,7.611468734,15.40596841,15.79869418,1.610494476,6.286645662,6.172421131,3.455168665,5.596540807,3.009921978,1.867472437,26.33146112,1.502781077,5.406397974,5.352046747,3.357914333,5.819754814,6.231723371,5.535370767,13.8323,7.927541567,4.247260274,2.811325506,3.857142857,4.366576819,3.713231834,3.77897067,3.138538132
2455,33.71083535,26.5196288,56.09058512,21.84167882,64.2312169,39.98995328,56.5225642,16.71680936,41.6788907,3.757672031,3.529423136,3.599813777,31.96326849,11.19869052,28.44027728,29.42183132,50.14697277,22.26024948,60.94808675,39.45551284,7.709116223,15.51060092,15.93050747,1.63905622,6.325087844,6.28434137,3.436504803,5.673922232,3.018034947,1.852130914,26.69929516,1.526938286,5.466345456,5.418008765,3.369882109,5.842848297,6.264974498,5.520523263,13.79603,7.943790118,4.195862069,2.816840641,3.839593417,4.378398562,3.677119701,3.76543107,3.203219984
2454,34.50275319,27.05735907,57.49199188,22.32247216,65.85611107,40.77677836,57.98728328,17.00641359,42.00920546,3.692700809,3.479122749,3.650298658,32.32275368,11.29239079,29.16575235,30.21417021,51.50196468,22.783662,62.53373353,40.51324841,7.733389556,15.84096162,16.24041462,1.799195884,6.477914919,6.466734695,3.545591919,5.771801169,3.11847747,1.892747372,26.93634481,1.570976283,5.510287701,5.529471675,3.460632179,5.996899671,6.265056799,5.639871202,13.82141,7.998819919,4.297222222,2.928443593,3.91397537,4.454884461,3.662876836,3.797185019,3.328198932
