nm,P09,P06,P19,P21,F07,T01-1,T01-2
1177,4.147727273,4.075279105,3.675959131,2.677081038,4.17582572,3.641129314,3.335651342
1176,4.147727273,4.076795407,3.678521338,2.672230014,4.175093721,3.639408422,3.338448941
1175,4.147727273,4.084926047,3.683647295,2.668376754,4.179866323,3.644742231,3.340056095
1174,4.147727273,4.092756664,3.687304609,2.661062124,4.183665806,3.653036192,3.347554222
1173,4.147727273,4.098995016,3.689121507,2.660262446,4.188088805,3.659919459,3.352302
1172,4.147727273,4.101466106,3.689129346,2.66445246,4.190423032,3.665177077,3.353539275
1171,4.147727273,4.107294719,3.687304609,2.666913828,4.19484015,3.665341323,3.353547448
1170,4.147727273,4.107697023,3.69281203,2.668982456,4.199882394,3.659988066,3.350746916
1169,4.147727273,4.107265838,3.695757697,2.670785277,4.201599435,3.656835754,3.348339167
1168,4.195402299,4.109736149,3.700180632,2.673125941,4.200246943,3.658116098,3.350657038
1167,4.195402299,4.108654726,3.704597932,2.674199378,4.199259346,3.661336215,3.356775707
1166,4.195402299,4.107633233,3.706469761,2.680480209,4.202093625,3.660994694,3.364633129
1165,4.195402299,4.110580563,3.703886713,2.68187205,4.204566318,3.658287466,3.365582985
1164,4.195402299,4.119024821,3.705364139,2.683877449,4.206546568,3.65549609,3.366515544
1163,4.147727273,4.127356107,3.707948151,2.686887058,4.211736979,3.661424014,3.3648129
1162,4.147727273,4.130504161,3.706492462,2.685226131,4.211736979,3.664655905,3.363582931
1161,4.195402299,4.140072238,3.707983109,2.685572089,4.217930872,3.673291379,3.354518455
1160,4.147727273,4.147735521,3.707633511,2.680508901,4.223368347,3.679915323,3.352490365
1159,4.195402299,4.151350924,3.710221328,2.678380282,4.22794899,3.686608092,3.35626703
1158,4.195402299,4.148930794,3.713919082,2.680193237,4.228674301,3.690681454,3.362699598
1157,4.195402299,4.149360062,3.713944825,2.680537656,4.231621813,3.692207186,3.374031358
1156,4.195402299,4.14661877,3.713570925,2.681737642,4.236707216,3.681652049,3.384145838
1155,4.195402299,4.146283578,3.713944825,2.68274265,4.239349882,3.668767713,3.388279561
1154,4.195402299,4.151191177,3.718341051,2.680732837,4.244226219,3.66564318,3.392757107
1153,4.195402299,4.155767079,3.720877352,2.676446323,4.2431412,3.669964806,3.389240265
1152,4.195402299,4.159365869,3.722735507,2.675785024,4.243562715,3.676242997,3.389078462
1151,4.195402299,4.159862782,3.721626245,2.672577237,4.244850065,3.685182748,3.384582234
